category,item,role,why_tried,evidence,why_selected,why_not_selected,final_status
model_family,Exact match,rule baseline,ใช้เป็น baseline ที่แม่นสูงและอธิบายง่ายที่สุด,"high precision exact stage; recall ต่ำ",ใช้เป็นกติกา baseline ของระบบ,ไม่ใช่ model หลักเพราะเก็บ true match ได้ไม่ครบ,baseline_rule
model_family,Logistic Regression,linear baseline,ตรวจว่า feature หลักแยกคลาสได้ด้วยเส้นแบ่งตรงหรือไม่,"main benchmark: AP 0.9422 AUC 0.9256 F1 0.8629; strict report point: AP 0.8395 AUC 0.9973 F1 0.8951 P/R 0.9900/0.8169",เก็บไว้เป็น baseline เชิงตีความและ strict report reference,ไม่ใช่ final model หลักของเส้น multimodal เพราะ main benchmark ยังด้อยกว่า tree models,baseline_plus_strict_report_ref
model_family,Linear SVM,linear margin baseline,เทียบกับ logistic ว่า large-margin linear model ช่วยไหม,"main benchmark: AP 0.9421 AUC 0.9255 F1 0.8621",เป็น reference family,ไม่ดีกว่า logistic อย่างมีนัยสำคัญและ probability อธิบายยากกว่า,reference_only
model_family,AdaBoost,lightweight boosting reference,ดูว่า boosting แบบง่ายช่วยได้แค่ไหน,"main benchmark: AP 0.9363 AUC 0.9289 F1 0.8762",มีค่าเป็น boosting reference,ด้อยกว่า gb และ rf ชัด,reference_only
model_family,Extra Trees,randomized tree ensemble,ดูว่า random split เพิ่ม generalization ได้ไหม,"main benchmark: AP 0.9734 AUC 0.9664 F1 0.9212; strict: AP 0.8409 F1 0.8992",เป็น strong alternative/reference,โดยรวมยังตาม gb หรือ rf เล็กน้อย,alternative_reference
model_family,Random Forest,strong tree baseline,ใช้เป็น ensemble มาตรฐานของข้อมูล tabular,"main benchmark: AP 0.9764 AUC 0.9706 F1 0.9289; strict: AP 0.8594 F1 0.8992",เป็นตัวใกล้เคียงที่สุดและ benchmark สำคัญ,แพ้ gb เล็กน้อยใน main benchmark,close_alternative
model_family,MLP,neural network reference,พิสูจน์ว่า neural complexity ช่วยจริงหรือไม่,"main benchmark: AP 0.9734 AUC 0.9649 F1 0.9255; strict report: AP 0.7344 F1 0.8296",ควรมีในเล่มเพื่ออธิบายมุม neural network,ไม่ชนะ gb/rf และตีความยากกว่า,reference_only
model_family,Gradient Boosting,final main model candidate,เหมาะกับ similarity features แบบตารางและเป็นตัวหลักใน pipeline เดิม,"main benchmark: AP 0.9797 AUC 0.9737 F1 0.9333; strict rerun: AP 0.8594 F1 0.8982",ชนะ benchmark หลักและ tuning ของ family ตัวเอง,ไม่มีจุดอ่อนพอให้หลุดจากการเป็นตัวหลัก,final_main_model
feature_run,text_attr_hybrid,feature baseline,text+attribute baseline ของสาย multimodal,"AP 0.9782 AUC 0.9715 F1 0.9330",เป็น baseline ที่ดีมาก,ยังด้อยกว่า image-enhanced runs เล็กน้อย,baseline_run
feature_run,image_stats,image-enhanced run,เพิ่ม image statistics เข้าไป,"AP 0.9789 AUC 0.9731 F1 0.9340",เป็นตัวใกล้เคียงมาก,composite score ตาม image_context เล็กน้อย,close_alternative_run
feature_run,image_context,final multimodal run,เพิ่ม image context/caption-cross signals ครบที่สุด,"AP 0.9789 AUC 0.9734 F1 0.9340",ได้ composite score สูงสุดและสะท้อนแนวคิด multimodal ครบที่สุด,ไม่มี,final_run
strict_operating_point,rf + isotonic,conservative strict point,ใช้เป็น strict classical reference เดิม,"F1 0.8992 P 1.0000 R 0.8169 FP 0",เป็น strict reference เชิงอนุรักษนิยม,precision ตันที่ 1 และดูไม่สมจริงพอสำหรับผลหลักในเล่ม,reference_only
strict_operating_point,logreg + isotonic @ 0.11,minimal-adjust strict point,ใช้ดูว่าถ้าขยับ threshold จาก strict เดิมเล็กน้อยจะได้ผลอย่างไร,"F1 0.8984 P 0.9980 R 0.8169 FP 2",เป็นทางเลือกที่เปลี่ยนน้อยและยังสมเหตุสมผล,ยังเป็น isotonic stepwise point และ precision ยังสูงใกล้ 1 มาก,alternative_report_point
strict_operating_point,logreg + sigmoid @ 0.50,report-facing strict point,ใช้เป็น strict operating point ใหม่ที่สมจริงกว่า,"F1 0.8951 P 0.9900 R 0.8169 FP 10",ใช้เป็น strict result หลักในรายงาน,ไม่ใช่ final multimodal model และ F1 ต่ำกว่า rf/gb conservative เล็กน้อย,selected_report_point
